,Player,Pos,Team,PTS,CR,Plus,Apps,Starter,Mins,Goals_x,Shots,On Tar. Shots,Pen Goals,Successful Dribbles,Ast,Acc Pass,Key Pass,Fouls,Was Fouled,YC,RC,Rec Ball,Tackles,Clean Sheets,Saves,Goals_y,top_10_scorer
1372,Y. Muto,Attacker,NEW,2.3,4.0,-2.5,6,1,111,0.0,0.17,0.0,0.0,0.33,0.0,3.0,0.0,0.17,0.17,0.0,0.0,0.17,0.33,0.0,0.0,0,No
1373,O. Niasse,Attacker,EVE,2.2,4.0,-1.9,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0,No
1374,P. Roberts,Midfielder,NOR,2.1,4.0,-1.5,3,0,24,0.0,0.0,0.0,0.0,1.33,0.0,2.0,0.0,0.33,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0,No
1375,D. Gayle,Attacker,NEW,2.07,8.6,-2.9,7,1,136,0.0,0.29,0.0,0.0,0.14,0.0,2.71,0.0,0.14,0.0,0.0,0.0,0.29,0.29,0.0,0.0,4,No
1376,T. Chong,Midfielder,MUN,1.85,4.0,-1.0,2,0,24,0.0,0.0,0.0,0.0,0.5,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,No
1377,I. Success,Attacker,WAT,1.8,4.0,-2.0,4,0,50,0.0,0.25,0.25,0.0,0.25,0.0,2.75,0.25,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0,No
1378,Domingos Quina,Midfielder,WAT,1.6,4.0,-0.2,3,0,14,0.0,0.33,0.33,0.0,0.0,0.0,1.33,0.0,0.33,0.33,0.0,0.0,0.0,0.33,0.0,0.0,0,No
1379,A. Jahanbakhsh,Midfielder,BHA,1.4,5.5,-2.0,1,0,22,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2,No
1380,L. Clarke,Attacker,SHU,1.0,4.0,-0.1,1,0,13,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,No
1381,M. Vydra,Attacker,BRN,0.46,5.6,-0.4,5,0,83,0.0,0.4,0.0,0.0,0.0,0.2,1.6,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,2,No
1382,K. Long,Defender,BRN,0.3,5.1,0.0,1,0,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,No
1383,T. Lamptey,Defender,BHA,0.0,5.6,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,No
1384,L. Rupp,Midfielder,NOR,0.0,5.1,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,No
1385,D. Randolph,Goalkeeper,WHU,0.0,6.8,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,No
1386,Gedson Fernandes,Midfielder,TOT,0.0,9.7,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,No
1387,J. Tanganga,Defender,TOT,0.0,6.8,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,No
1388,J. Ruddy,Goalkeeper,WOL,0.0,4.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,No
1389,O. Duda,Midfielder,NOR,0.0,7.3,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,No
1390,Joao Pedro,Attacker,WAT,0.0,8.2,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,No
1391,J. Rodwell,Midfielder,SHU,0.0,5.1,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,No
1392,Bruno Jordao,Midfielder,WOL,0.0,4.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,No
1393,T. Minamino,Midfielder,LIV,0.0,10.3,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,No
1394,W. Reid,Defender,WHU,0.0,4.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,No
1395,P. Reina,Goalkeeper,AVL,0.0,8.7,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,No
1396,D. Ward,Goalkeeper,LEI,0.0,4.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,No
1397,D. Button,Goalkeeper,BHA,0.0,4.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,No
1398,M. Stekelenburg,Goalkeeper,EVE,0.0,4.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,No
1399,B. Baningime,Midfielder,EVE,0.0,4.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,No
1400,C. Martina,Defender,EVE,0.0,4.0,-0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,No
1401,S. Henderson,Goalkeeper,CRY,0.0,4.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,No
1402,R. Loftus-Cheek,Midfielder,CHE,0.0,10.2,-1.9,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,No
1403,W. Caballero,Goalkeeper,CHE,0.0,4.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,No
1404,B. Peacock-Farrell,Goalkeeper,BRN,0.0,4.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,No
1405,J. Hart,Goalkeeper,BRN,0.0,4.0,-1.6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,No
1406,B. Gibson,Defender,BRN,0.0,4.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,No
1407,J. Steele,Goalkeeper,BHA,0.0,4.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,No
1408,Goncalo Cardoso,Defender,WHU,0.0,4.0,-0.7,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,No
1409,J. Izquierdo,Midfielder,BHA,0.0,4.0,-1.9,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,No
1410,E. Martinez,Goalkeeper,ARS,0.0,6.1,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,No
