,Player,Pos,Team,PTS,CR,Plus,Apps,Starter,Mins,Goals_x,Shots,On Tar. Shots,Pen Goals,Successful Dribbles,Ast,Acc Pass,Key Pass,Fouls,Was Fouled,YC,RC,Rec Ball,Tackles,Clean Sheets,Saves,Goals_y,top_10_scorer
0,B. Chilwell,Defender,CHE,35.38,15.4,0.9,6,6,540,0.5,2.17,1.0,0.0,0.5,0.17,37.17,1.67,1.67,2.5,0.0,0.0,1.17,1.33,0.67,0.0,3,No
1,T. Alexander-Arnold,Defender,LIV,32.66,20.2,3.5,17,17,1504,0.12,1.65,0.59,0.0,0.47,0.47,53.29,3.12,0.29,0.29,0.06,0.0,2.29,1.29,0.59,0.0,2,No
2,Joao Cancelo,Defender,MCI,31.33,21.9,4.3,18,18,1608,0.06,2.22,0.83,0.0,1.22,0.22,72.17,1.11,0.89,0.44,0.28,0.0,3.28,2.0,0.56,0.0,1,No
3,M. Sarr,Defender,CHE,30.4,5.1,-0.4,1,1,90,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,1.0,0.0,0,No
4,Mohamed Salah,Attacker,LIV,30.09,19.3,-0.5,19,19,1693,0.89,4.05,1.95,0.21,1.63,0.53,27.79,2.0,0.32,0.74,0.05,0.0,0.42,0.47,0.58,0.0,23,Yes
5,L. Diaz,Midfielder,LIV,26.7,15.5,0.0,1,1,85,0.0,4.0,2.0,0.0,6.0,0.0,43.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4,No
6,A. Robertson,Defender,LIV,26.49,19.4,1.5,15,15,1307,0.07,0.4,0.27,0.0,0.27,0.4,53.67,2.0,0.8,0.27,0.27,0.07,1.47,1.07,0.47,0.0,3,No
7,Aymeric Laporte,Defender,MCI,26.43,19.0,2.3,15,15,1273,0.13,1.47,0.33,0.0,0.2,0.0,82.2,0.27,0.47,0.27,0.33,0.07,1.27,1.07,0.6,0.0,4,No
8,V. van Dijk,Defender,LIV,26.38,18.2,0.9,17,17,1530,0.12,1.06,0.29,0.0,0.18,0.06,71.0,0.35,0.29,0.18,0.12,0.0,1.29,0.47,0.65,0.0,3,No
9,R. James,Defender,CHE,26.26,15.6,2.7,15,13,1088,0.27,1.4,0.47,0.0,1.13,0.33,42.33,2.0,0.73,1.07,0.27,0.07,1.8,1.27,0.33,0.0,5,No
10,O. Zinchenko,Defender,MCI,26.23,14.1,0.5,7,5,506,0.0,0.71,0.14,0.0,0.43,0.14,57.14,0.57,0.71,0.29,0.0,0.0,2.57,1.43,0.43,0.0,0,No
11,J. Matip,Defender,LIV,25.42,15.5,2.7,15,15,1350,0.07,1.13,0.27,0.0,0.33,0.0,67.73,0.27,0.4,0.4,0.0,0.0,2.2,1.33,0.53,0.0,3,No
12,Bernardo Silva,Midfielder,MCI,25.34,16.0,2.3,18,18,1524,0.39,1.28,0.78,0.0,1.67,0.06,49.61,1.61,0.83,1.06,0.22,0.0,1.39,1.72,0.5,0.0,8,No
13,W. Boly,Defender,WOL,25.0,7.9,-1.8,1,1,90,0.0,0.0,0.0,0.0,0.0,0.0,74.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0,No
14,J. Stones,Defender,MCI,24.9,13.5,-0.1,6,4,411,0.17,0.5,0.33,0.0,0.17,0.0,48.17,0.0,0.17,0.67,0.0,0.0,1.17,0.5,0.67,0.0,1,No
15,Ruben Dias,Defender,MCI,24.49,18.1,1.0,18,17,1503,0.11,0.5,0.11,0.0,0.06,0.11,72.72,0.56,1.06,0.22,0.22,0.0,1.67,1.17,0.5,0.0,2,No
16,C. Kelleher,Goalkeeper,LIV,24.3,9.9,-1.5,1,1,90,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0,No
17,C. Gallagher,Midfielder,CRY,23.97,10.2,5.7,18,18,1574,0.39,1.94,0.83,0.0,1.28,0.17,27.94,1.72,1.78,1.78,0.22,0.0,2.28,2.67,0.22,0.0,8,No
18,Rodri,Midfielder,MCI,23.92,18.5,2.0,16,16,1384,0.13,1.0,0.31,0.0,0.56,0.06,76.25,1.0,1.5,0.56,0.25,0.0,2.0,2.44,0.56,0.0,7,No
19,K. Walker,Defender,MCI,23.88,15.6,1.5,12,12,1035,0.0,0.42,0.08,0.0,0.42,0.08,69.5,0.5,0.25,0.75,0.08,0.0,0.75,0.67,0.5,0.0,0,No
20,Thiago Silva,Defender,CHE,23.51,16.8,1.8,16,13,1283,0.13,0.63,0.25,0.0,0.19,0.0,69.19,0.25,0.25,0.31,0.06,0.0,2.19,1.13,0.38,0.0,3,No
21,E. Smith Rowe,Midfielder,ARS,23.42,11.0,4.0,17,13,1186,0.47,1.47,0.94,0.0,1.35,0.12,23.88,1.18,0.18,0.71,0.0,0.0,0.76,0.41,0.29,0.0,10,No
22,M. Cornet,Defender,BRN,23.1,10.3,1.6,12,11,834,0.5,1.67,1.08,0.0,0.67,0.08,9.83,0.75,0.58,0.58,0.17,0.0,0.5,0.33,0.17,0.0,9,No
23,Jonny Castro,Defender,WOL,23.1,8.9,-1.8,1,1,82,0.0,0.0,0.0,0.0,0.0,0.0,42.0,1.0,1.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,2,No
24,P. Hojbjerg,Midfielder,TOT,22.71,14.2,2.1,18,18,1608,0.11,0.94,0.44,0.0,1.39,0.06,62.61,0.56,0.89,0.89,0.06,0.0,3.06,2.56,0.44,0.0,2,No
25,A. Rudiger,Defender,CHE,22.62,16.8,1.7,18,18,1620,0.11,1.39,0.33,0.0,0.17,0.0,61.61,0.56,1.06,0.33,0.17,0.0,1.89,1.28,0.44,0.0,3,No
26,M. Mount,Midfielder,CHE,22.53,16.4,0.6,16,12,1066,0.44,2.06,1.06,0.06,0.5,0.25,25.38,1.44,0.63,0.56,0.06,0.0,1.06,1.25,0.31,0.0,11,No
27,M. Kovacic,Midfielder,CHE,22.46,13.1,0.6,11,8,757,0.09,1.09,0.27,0.0,1.82,0.45,45.82,1.27,1.0,0.82,0.09,0.0,1.73,2.55,0.55,0.0,2,No
28,P. Foden,Midfielder,MCI,22.42,16.6,-0.4,12,9,831,0.33,2.08,1.0,0.0,0.83,0.25,31.08,1.75,0.5,0.58,0.0,0.0,0.5,0.33,0.33,0.0,9,No
29,Y. Tielemans,Midfielder,LEI,22.41,14.5,0.8,15,15,1318,0.33,2.13,0.67,0.07,0.73,0.13,48.6,1.6,1.07,1.2,0.07,0.0,1.87,1.73,0.13,0.0,6,No
30,C. Jones,Midfielder,LIV,22.03,8.1,-0.3,6,4,399,0.17,1.67,0.67,0.0,2.0,0.17,43.67,0.67,0.83,1.67,0.0,0.0,0.83,0.83,0.33,0.0,1,No
31,Raphinha,Midfielder,LEE,21.73,13.1,2.1,17,17,1441,0.47,2.88,1.0,0.18,2.29,0.06,20.59,1.65,1.24,1.24,0.24,0.0,2.0,1.53,0.18,0.0,11,No
32,Azpilicueta,Defender,CHE,21.63,14.5,-0.2,12,11,944,0.0,0.42,0.0,0.0,0.42,0.17,48.08,0.67,0.92,0.17,0.0,0.0,2.0,2.17,0.42,0.0,1,No
33,I. Gundogan,Midfielder,MCI,21.48,16.1,0.6,13,12,1032,0.31,2.38,0.85,0.0,1.15,0.23,45.23,1.92,0.77,0.46,0.08,0.0,0.85,1.0,0.46,0.0,8,No
34,Bruno Fernandes,Midfielder,MUN,21.42,17.9,-2.7,19,19,1655,0.32,2.26,0.68,0.0,0.63,0.26,39.47,2.95,1.0,1.21,0.32,0.0,0.95,1.32,0.26,0.0,10,No
35,K. Tierney,Defender,ARS,21.39,13.5,1.2,13,13,1109,0.08,0.92,0.38,0.0,0.46,0.15,28.85,0.92,0.15,1.0,0.0,0.0,1.23,0.85,0.46,0.0,1,No
36,I. Konate,Defender,LIV,21.35,11.6,-0.3,6,6,540,0.0,0.17,0.0,0.0,0.0,0.0,54.5,0.0,0.67,0.33,0.17,0.0,2.67,1.5,0.5,0.0,0,No
37,Son Heung-Min,Attacker,TOT,21.29,20.3,-1.5,17,17,1478,0.47,2.12,0.94,0.0,1.41,0.12,26.65,2.0,0.41,0.82,0.0,0.0,0.47,0.24,0.47,0.0,23,Yes
38,D. Calvert-Lewin,Attacker,EVE,21.28,14.9,-1.4,4,4,338,0.75,3.0,1.75,0.5,0.0,0.0,10.5,1.0,2.0,1.25,0.0,0.0,1.0,0.5,0.25,0.0,5,No
39,J. Henderson,Midfielder,LIV,21.17,14.5,0.9,17,14,1253,0.12,0.88,0.24,0.0,0.41,0.24,55.76,1.35,0.76,0.12,0.12,0.0,1.18,0.94,0.41,0.0,2,No
40,N. Ake,Defender,MCI,21.13,12.8,-0.5,6,4,399,0.17,0.33,0.17,0.0,0.0,0.0,52.0,0.0,0.67,0.0,0.0,0.0,0.67,0.5,0.33,0.0,2,No
41,A. Cresswell,Defender,WHU,21.05,11.5,1.7,14,14,1231,0.07,0.64,0.14,0.0,0.36,0.07,46.07,1.21,0.36,0.36,0.0,0.0,1.71,1.0,0.29,0.0,2,No
42,K. De Bruyne,Midfielder,MCI,21.03,21.3,-2.5,13,8,743,0.38,2.38,0.69,0.0,1.0,0.0,31.0,2.31,0.23,0.85,0.0,0.0,0.62,0.92,0.38,0.0,15,No
43,J. Branthwaite,Defender,EVE,20.9,4.6,-0.9,2,2,180,0.5,1.0,0.5,0.0,0.0,0.0,9.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1,No
44,J. Bowen,Midfielder,WHU,20.9,14.5,1.4,19,18,1587,0.26,2.42,1.05,0.0,1.63,0.26,15.16,1.32,0.84,1.37,0.11,0.0,1.26,1.16,0.26,0.0,12,No
45,I. Sarr,Midfielder,WAT,20.85,12.0,0.4,13,13,1122,0.38,2.15,1.15,0.0,1.92,0.0,15.85,0.85,0.92,2.62,0.08,0.0,0.77,0.38,0.0,0.0,5,No
46,T. Tomiyasu,Defender,ARS,20.71,11.9,1.9,15,15,1295,0.0,0.6,0.13,0.0,0.53,0.07,38.4,0.73,0.67,0.6,0.07,0.0,1.93,1.8,0.53,0.0,0,No
47,J. Grealish,Midfielder,MCI,20.61,16.1,-1.8,13,12,978,0.15,2.08,0.92,0.0,1.62,0.15,33.15,2.31,0.54,2.38,0.08,0.0,0.85,0.77,0.54,0.0,3,No
48,Kepa,Goalkeeper,CHE,20.6,10.0,-1.7,1,1,90,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0,No
49,N. Kante,Midfielder,CHE,20.58,14.0,-0.5,10,8,650,0.2,0.7,0.4,0.0,1.9,0.0,37.1,0.4,0.6,0.5,0.1,0.0,1.8,1.8,0.4,0.0,2,No
50,Diogo Jota,Attacker,LIV,20.53,14.2,0.5,17,14,1221,0.59,2.88,1.12,0.0,0.88,0.06,16.59,1.29,1.29,1.41,0.06,0.0,0.59,1.18,0.47,0.0,15,No
51,Jorginho,Midfielder,CHE,20.31,14.7,0.8,16,14,1266,0.38,0.75,0.5,0.38,0.44,0.06,56.63,0.88,0.94,1.75,0.19,0.0,1.75,1.81,0.38,0.0,6,No
52,D. Sanchez,Defender,TOT,20.21,11.5,1.0,11,9,839,0.09,0.73,0.18,0.0,0.0,0.0,41.55,0.27,0.91,0.55,0.27,0.0,2.55,2.36,0.55,0.0,2,No
53,B. Saka,Midfielder,ARS,20.16,15.5,1.1,19,17,1402,0.26,2.16,0.68,0.0,1.05,0.21,22.11,1.68,0.53,1.63,0.11,0.0,0.79,0.95,0.47,0.0,11,No
54,J.  McGinn,Midfielder,AVL,20.15,14.6,-0.1,17,17,1478,0.18,1.41,0.47,0.0,1.29,0.18,26.76,1.59,1.29,2.06,0.24,0.0,2.29,2.76,0.24,0.0,3,No
55,R. Ait Nouri,Defender,WOL,20.12,10.4,0.6,10,9,808,0.0,0.6,0.2,0.0,1.7,0.1,29.1,0.9,0.6,0.8,0.2,0.0,2.7,3.5,0.4,0.0,1,No
56,D. Rice,Midfielder,WHU,20.06,14.6,0.4,19,19,1710,0.05,0.74,0.26,0.0,1.53,0.16,51.63,0.84,1.16,0.37,0.26,0.0,2.89,2.26,0.26,0.0,1,No
57,Z. Steffen,Goalkeeper,MCI,20.0,9.5,-1.7,1,1,90,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0,No
58,Reguilon,Defender,TOT,19.95,12.4,0.6,17,16,1329,0.06,0.71,0.24,0.0,0.94,0.18,24.94,1.24,0.82,0.76,0.18,0.0,2.65,1.71,0.41,0.0,2,No
59,R. Mahrez,Midfielder,MCI,19.94,16.1,-0.6,15,7,751,0.33,2.07,0.73,0.07,1.0,0.27,25.4,1.6,0.47,0.6,0.0,0.0,0.27,0.33,0.2,0.0,11,No
60,A. Saint-Maximin,Midfielder,NEW,19.92,13.5,1.4,19,18,1624,0.21,2.11,0.84,0.0,4.16,0.16,15.79,1.42,0.42,1.47,0.16,0.0,0.68,0.42,0.05,0.0,5,No
61,P. Pogba,Midfielder,MUN,19.85,14.3,-1.1,10,7,650,0.0,2.1,0.3,0.0,2.0,0.8,40.5,1.6,2.3,0.8,0.4,0.1,1.3,0.8,0.1,0.0,1,No
62,B. Mee,Defender,BRN,19.79,9.8,0.7,13,13,1170,0.23,1.08,0.31,0.0,0.15,0.0,26.85,0.23,0.54,0.38,0.23,0.0,1.69,1.31,0.31,0.0,3,No
63,A. Christensen,Defender,CHE,19.78,12.2,0.4,12,10,954,0.0,0.25,0.0,0.0,0.25,0.0,59.58,0.33,0.67,0.33,0.17,0.0,2.0,0.42,0.42,0.0,0,No
64,R. Saiss,Defender,WOL,19.73,10.6,2.8,19,19,1659,0.11,0.53,0.26,0.0,0.21,0.0,45.79,0.16,0.89,0.47,0.21,0.0,2.79,1.26,0.42,0.0,2,No
65,Marcos Alonso,Defender,CHE,19.68,12.4,1.2,13,13,1108,0.08,1.23,0.31,0.0,0.46,0.15,31.0,1.62,1.15,1.38,0.31,0.0,3.46,1.77,0.38,0.0,4,No
66,S. Mane,Attacker,LIV,19.65,15.9,-2.9,19,18,1624,0.47,3.0,1.11,0.0,1.47,0.05,23.58,1.32,1.53,1.32,0.05,0.0,1.11,1.16,0.53,0.0,16,Yes
67,J. Ward-Prowse,Midfielder,SOU,19.55,15.4,0.5,17,17,1507,0.24,1.41,0.65,0.18,0.47,0.12,40.71,1.94,1.0,0.76,0.12,0.06,2.0,1.18,0.24,0.0,10,No
68,L. Trossard,Midfielder,BHA,19.23,14.8,1.2,19,19,1602,0.21,2.37,0.95,0.05,1.89,0.05,25.68,1.37,0.74,1.0,0.05,0.0,1.21,1.16,0.26,0.0,8,No
69,R. Varane,Defender,MUN,19.23,12.7,-1.0,8,8,720,0.0,0.75,0.0,0.0,0.13,0.13,53.75,0.25,0.25,0.38,0.0,0.0,1.88,2.0,0.25,0.0,1,No
70,Thiago Alcantara,Midfielder,LIV,19.1,12.4,0.5,12,9,746,0.08,1.33,0.42,0.0,0.58,0.08,51.42,1.0,0.75,0.33,0.08,0.0,1.75,1.83,0.5,0.0,1,No
71,Nelson Semedo,Defender,WOL,18.94,13.1,0.4,16,16,1393,0.0,0.75,0.13,0.0,1.5,0.0,28.88,0.44,1.0,1.06,0.06,0.0,2.13,2.38,0.38,0.0,0,No
72,Fred,Midfielder,MUN,18.8,12.1,1.4,16,16,1332,0.13,0.63,0.31,0.0,0.56,0.13,45.19,1.0,1.13,1.19,0.25,0.0,2.31,2.94,0.31,0.0,4,No
73,A. Ramsdale,Goalkeeper,ARS,18.71,11.2,1.1,16,16,1440,0.0,0.0,0.0,0.0,0.06,0.0,19.38,0.0,0.0,0.25,0.06,0.0,0.06,0.06,0.56,3.44,0,No
74,B. Mendy,Defender,MCI,18.7,8.8,-1.7,1,1,79,0.0,0.0,0.0,0.0,2.0,0.0,71.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0,No
75,J. Bednarek,Defender,SOU,18.64,11.1,0.6,14,13,1165,0.21,0.5,0.21,0.0,0.07,0.0,39.21,0.14,0.64,0.57,0.29,0.0,2.5,0.86,0.29,0.0,4,No
76,C. Ronaldo,Attacker,MUN,18.41,19.1,-3.9,16,14,1279,0.5,3.5,1.31,0.13,0.88,0.13,21.81,0.75,0.56,0.75,0.25,0.0,0.19,0.13,0.25,0.0,18,Yes
77,N. Keita,Midfielder,LIV,18.34,10.5,0.0,9,6,471,0.22,1.56,0.56,0.0,0.44,0.11,26.56,0.67,1.11,0.56,0.11,0.0,2.22,2.67,0.44,0.0,3,No
78,M. Odegaard,Midfielder,ARS,18.32,15.2,-0.3,17,13,1159,0.24,1.12,0.47,0.0,0.47,0.18,32.18,1.82,0.41,0.53,0.12,0.0,0.71,1.12,0.41,0.0,7,No
79,A. Doucoure,Midfielder,EVE,18.29,10.7,1.3,14,14,1260,0.14,1.57,0.5,0.0,0.71,0.29,30.93,0.79,1.36,0.79,0.29,0.0,1.79,1.86,0.14,0.0,2,No
80,M. Greenwood,Attacker,MUN,18.27,10.7,-0.1,14,12,966,0.36,2.57,1.07,0.0,1.5,0.07,20.79,1.0,0.79,0.71,0.07,0.0,0.5,0.71,0.07,0.0,5,No
81,M. Kilman,Defender,WOL,18.26,9.9,4.3,18,18,1619,0.06,0.5,0.17,0.0,0.61,0.0,42.39,0.17,0.61,0.44,0.17,0.0,2.78,2.0,0.39,0.0,1,No
82,B. White,Defender,ARS,17.95,12.6,0.6,17,17,1530,0.0,0.18,0.06,0.0,0.47,0.0,44.0,0.41,0.59,0.82,0.06,0.0,2.0,1.24,0.53,0.0,0,No
83,W. Zaha,Attacker,CRY,17.91,13.8,-1.0,18,17,1482,0.39,1.67,0.67,0.11,1.94,0.06,22.61,1.39,1.33,3.06,0.17,0.06,0.78,1.11,0.22,0.0,14,No
84,Fabinho,Midfielder,LIV,17.88,13.6,-0.2,13,12,1099,0.08,0.69,0.23,0.0,0.31,0.08,48.15,0.54,1.69,1.31,0.31,0.0,2.62,1.54,0.54,0.0,5,No
85,C. Romero,Defender,TOT,17.79,11.9,-1.4,9,8,714,0.11,0.44,0.11,0.0,0.33,0.0,46.33,0.22,0.78,0.89,0.56,0.0,3.11,2.33,0.22,0.0,1,No
86,D. Kulusevski,Midfielder,TOT,17.75,12.6,0.0,2,2,179,0.0,3.0,1.0,0.0,1.0,0.5,28.0,2.0,1.5,1.0,0.0,0.0,3.0,1.5,0.5,0.0,5,No
87,R. Sterling,Attacker,MCI,17.72,18.2,-2.9,16,10,1003,0.44,2.06,1.06,0.13,1.38,0.06,22.63,1.38,0.5,0.94,0.0,0.0,0.56,0.69,0.31,0.0,13,No
88,Ruben Neves,Midfielder,WOL,17.67,12.5,0.4,18,16,1435,0.11,1.06,0.39,0.0,0.39,0.06,48.89,0.83,0.83,0.39,0.33,0.0,2.11,2.11,0.33,0.0,4,No
89,J. Maddison,Midfielder,LEI,17.65,15.6,0.2,19,15,1280,0.32,2.26,1.16,0.0,0.79,0.16,18.79,1.11,0.42,1.89,0.11,0.0,0.74,1.0,0.11,0.0,12,No
90,K. Tsimikas,Defender,LIV,17.51,8.5,0.0,7,4,397,0.0,0.43,0.14,0.0,0.57,0.14,20.71,1.57,2.14,0.57,0.29,0.0,1.71,2.14,0.57,0.0,0,No
91,K. Walker-Peters,Defender,SOU,17.4,11.9,1.1,14,12,1077,0.0,0.57,0.0,0.0,1.79,0.14,26.64,0.93,1.21,1.36,0.29,0.0,2.71,2.0,0.21,0.0,1,No
92,M. Guehi,Defender,CRY,17.38,11.7,2.3,18,18,1620,0.11,0.56,0.22,0.0,0.39,0.0,57.78,0.06,0.5,0.94,0.22,0.0,1.5,1.22,0.22,0.0,2,No
93,K. Hause,Defender,AVL,17.3,6.8,-0.8,4,3,261,0.25,0.25,0.25,0.0,0.75,0.0,22.75,0.0,1.5,0.25,0.0,0.0,2.25,0.75,0.25,0.0,1,No
94,Pablo Fornals,Midfielder,WHU,17.28,11.5,1.5,19,17,1448,0.21,1.26,0.42,0.0,0.58,0.11,26.11,1.42,0.79,0.79,0.16,0.0,1.32,1.53,0.21,0.0,6,No
95,R. Bentancur,Midfielder,TOT,17.25,11.1,0.0,2,2,135,0.0,0.0,0.0,0.0,0.0,0.5,55.5,0.5,0.0,0.5,0.0,0.0,2.5,1.0,0.5,0.0,0,No
96,Fernando Marcal,Defender,WOL,17.21,6.6,1.7,10,10,866,0.0,0.5,0.0,0.0,0.2,0.0,30.2,0.2,1.9,0.8,0.2,0.0,3.1,2.7,0.4,0.0,0,No
97,Gabriel Jesus,Attacker,MCI,17.15,15.7,-1.9,15,13,1141,0.13,2.4,0.93,0.0,1.53,0.47,27.53,1.67,1.33,0.4,0.0,0.0,0.93,0.73,0.53,0.0,8,No
98,E. Dennis,Attacker,WAT,17.05,9.7,4.4,17,16,1353,0.41,2.12,0.94,0.0,1.76,0.29,11.29,1.12,2.35,1.35,0.35,0.0,1.59,1.53,0.0,0.0,10,No
99,D. Gray,Midfielder,EVE,17.04,9.9,2.4,18,16,1326,0.28,2.22,0.67,0.0,1.5,0.11,16.56,1.22,0.44,1.0,0.17,0.0,1.17,0.83,0.17,0.0,5,No
100,Richarlison,Attacker,EVE,17.04,13.6,-2.5,13,12,1068,0.46,2.23,0.69,0.15,1.23,0.15,10.69,1.23,1.62,1.62,0.46,0.0,1.31,1.38,0.15,0.0,10,No
101,N. Collins,Defender,BRN,17.03,7.2,-0.2,7,7,630,0.14,0.29,0.14,0.0,0.14,0.0,23.57,0.43,1.29,1.0,0.14,0.0,2.57,1.29,0.29,0.0,2,No
102,A. Webster,Defender,BHA,17.0,9.8,0.0,10,9,718,0.0,0.1,0.0,0.0,0.8,0.0,53.0,0.0,1.1,0.0,0.3,0.0,1.5,1.5,0.3,0.0,2,No
103,M. Salisu,Defender,SOU,16.98,9.5,2.3,18,17,1583,0.0,0.5,0.17,0.0,0.56,0.0,40.39,0.33,1.22,0.22,0.33,0.0,3.78,2.28,0.22,0.0,0,No
104,H. Kamara,Defender,WAT,16.93,8.2,0.0,3,3,270,0.0,0.0,0.0,0.0,0.67,0.0,30.33,1.33,1.67,2.0,0.0,0.0,7.0,3.67,0.33,0.0,1,No
105,Y. Bissouma,Midfielder,BHA,16.89,10.9,0.6,14,14,1185,0.0,0.86,0.07,0.0,1.57,0.07,44.5,0.14,0.93,0.86,0.36,0.0,4.14,3.0,0.21,0.0,1,No
106,J. Tarkowski,Defender,BRN,16.82,9.8,0.9,18,18,1620,0.06,0.72,0.22,0.0,0.28,0.11,22.78,0.28,0.94,0.72,0.28,0.0,2.72,1.5,0.22,0.0,1,No
107,A. Townsend,Midfielder,EVE,16.79,7.6,2.3,16,15,1270,0.19,1.13,0.63,0.06,1.25,0.13,16.81,1.88,0.5,2.25,0.19,0.0,1.75,1.69,0.19,0.0,3,No
108,Lucas Moura,Attacker,TOT,16.76,9.9,1.5,18,14,1221,0.11,1.5,0.44,0.0,2.44,0.17,20.94,1.22,0.83,1.5,0.11,0.0,0.83,0.83,0.33,0.0,2,No
109,M. Antonio,Attacker,WHU,16.73,12.3,-1.0,18,17,1569,0.39,2.67,0.89,0.0,1.39,0.22,12.67,1.67,1.56,1.5,0.17,0.06,0.56,0.67,0.28,0.0,10,No
110,J. Tanganga,Defender,TOT,16.71,7.0,0.3,10,9,683,0.0,0.7,0.2,0.0,0.5,0.0,28.6,0.2,1.6,0.7,0.1,0.1,1.7,1.3,0.5,0.0,0,No
111,R. Loftus-Cheek,Midfielder,CHE,16.67,11.2,0.8,12,7,694,0.0,1.17,0.25,0.0,2.17,0.17,32.17,0.5,0.92,1.83,0.08,0.0,0.42,1.0,0.08,0.0,0,No
112,L. Shaw,Defender,MUN,16.66,11.7,-0.9,13,13,1091,0.0,0.31,0.08,0.0,0.38,0.08,40.38,1.77,1.46,1.08,0.38,0.0,1.31,1.08,0.23,0.0,0,No
113,H. Kane,Attacker,TOT,16.62,18.1,-4.8,18,17,1522,0.28,3.28,1.22,0.0,1.5,0.11,17.39,1.06,1.44,1.11,0.17,0.0,0.22,0.56,0.33,0.0,17,Yes
114,Diogo Dalot,Defender,MUN,16.61,8.9,0.2,10,6,631,0.0,0.5,0.2,0.0,0.4,0.0,25.7,0.4,1.0,0.1,0.2,0.0,3.0,2.1,0.3,0.0,0,No
115,T. Partey,Midfielder,ARS,16.45,12.4,-0.1,15,14,1238,0.07,1.73,0.4,0.0,1.0,0.0,42.2,0.53,1.33,0.6,0.13,0.0,1.87,1.4,0.47,0.0,2,No
116,H. Maguire,Defender,MUN,16.38,13.1,-1.2,17,16,1414,0.0,0.76,0.29,0.0,0.24,0.0,45.82,0.12,0.71,0.47,0.24,0.06,1.35,0.94,0.29,0.0,1,No
117,C. Roberts,Defender,BRN,16.34,8.3,-1.3,5,4,357,0.0,0.2,0.2,0.0,0.8,0.0,20.0,0.8,0.0,1.2,0.0,0.0,0.2,0.6,0.4,0.0,1,No
118,Roberto Firmino,Attacker,LIV,16.27,11.9,-1.6,10,4,415,0.4,1.3,0.6,0.0,0.7,0.2,15.3,0.8,0.3,0.2,0.0,0.0,0.7,1.0,0.2,0.0,5,No
119,C. Hudson-Odoi,Midfielder,CHE,16.26,9.6,0.1,10,8,690,0.1,1.3,0.7,0.0,1.2,0.1,21.6,2.0,0.6,1.1,0.0,0.0,0.9,1.0,0.4,0.0,1,No
120,S. Duffy,Defender,BHA,16.21,7.2,1.5,14,13,1224,0.07,1.36,0.36,0.0,0.07,0.0,52.64,0.21,0.86,0.29,0.36,0.0,1.79,0.86,0.29,0.0,1,No
121,A. Wan-Bissaka,Defender,MUN,16.14,11.8,-0.6,13,13,1170,0.0,0.15,0.08,0.0,1.62,0.0,39.77,0.62,0.62,0.69,0.15,0.0,3.08,2.15,0.15,0.0,0,No
122,A. Masuaku,Defender,WHU,16.14,5.7,0.9,8,4,418,0.13,0.38,0.13,0.0,1.13,0.13,21.75,0.25,0.38,0.38,0.0,0.0,2.63,2.5,0.13,0.0,1,No
123,V. Livramento,Midfielder,SOU,16.12,8.0,3.5,18,18,1616,0.06,0.44,0.11,0.0,1.17,0.0,26.94,0.72,0.67,1.61,0.11,0.0,3.06,2.17,0.28,0.0,1,No
124,S. Benrahma,Attacker,WHU,16.12,12.1,-0.1,18,16,1295,0.22,2.11,0.67,0.0,1.22,0.17,21.06,1.0,0.22,0.56,0.0,0.0,0.72,0.83,0.22,0.0,8,No
125,L. Dunk,Defender,BHA,16.11,13.0,0.0,16,16,1404,0.0,0.38,0.19,0.0,0.13,0.0,66.25,0.06,0.44,0.06,0.0,0.06,1.69,0.5,0.31,0.0,1,No
126,T. Soucek,Midfielder,WHU,16.11,13.3,-0.8,18,18,1609,0.11,1.56,0.39,0.0,0.33,0.06,32.5,0.5,1.33,0.67,0.11,0.0,2.5,2.06,0.22,0.0,5,No
127,D. McNeil,Midfielder,BRN,16.09,10.9,0.8,19,18,1598,0.0,1.26,0.37,0.0,2.37,0.05,20.16,1.37,0.68,1.05,0.05,0.0,2.63,2.47,0.26,0.0,0,No
128,J. McArthur,Midfielder,CRY,16.08,8.7,0.6,12,11,963,0.0,0.5,0.08,0.0,1.25,0.17,39.92,0.83,1.42,1.08,0.25,0.0,2.58,2.17,0.33,0.0,0,No
129,A. Ogbonna,Defender,WHU,16.0,7.9,0.2,11,11,922,0.09,0.27,0.09,0.0,0.09,0.0,36.73,0.0,0.45,0.27,0.09,0.0,1.36,0.64,0.27,0.0,1,No
130,A. Elanga,Midfielder,MUN,16.0,11.3,0.0,3,2,183,0.33,0.67,0.33,0.0,0.67,0.0,17.33,0.33,0.67,1.0,0.0,0.0,1.0,0.67,0.33,0.0,2,No
